word,pinyin,radical,words_std
潮,cháo,氵,观潮、潮水
盐,yán,皿,盐官、食盐
薄,bó,艹,薄雾
屹,yì,山,屹立
昂,áng,日,昂首
鼎,dǐng,鼎,鼎沸
沸,fèi,氵,沸腾
据,jù,扌,据说、证据
堤,dī,土,大堤、河堤
阔,kuò,门,宽阔、广阔
盼,pàn,目,盼望
滚,gǔn,氵,滚动、翻滚
顿,dùn,页,顿时
逐,zhú,辶,逐渐
渐,jiàn,氵,逐渐
堵,dǔ,土,一堵、堵塞
犹,yóu,犭,犹如
贯,guàn,贝,横贯
浩,hào,氵,浩荡
崩,bēng,山,崩裂、山崩地裂
震,zhèn,雨,震动、地震
霎,shà,雨,霎时
余,yú,人,余波、剩余
淘,táo,氵,淘洗、浪淘沙
牵,qiān,牛,牵手、牵着
鹅,é,鸟,鹅卵石
卵,luǎn,卩,鹅卵石
坑,kēng,土,坑洼、坑坑洼洼
洼,wā,氵,坑洼、坑坑洼洼
填,tián,土,填充、填上
庄,zhuāng,广,庄稼
稼,jià,禾,庄稼
俗,sú,亻,风俗
跃,yuè,足,跃出、跳跃
葡,pú,艹,葡萄
萄,táo,艹,葡萄
稻,dào,禾,水稻
熟,shú,灬,成熟、熟悉
穗,suì,禾,稻穗
镀,dù,钅,镀亮
埂,gěng,土,田埂
烁,shuò,火,闪烁
巢,cháo,巛,归巢
苇,wěi,艹,芦苇
罗,luó,罒,剪秋罗
眠,mián,目,睡眠、冬眠
霸,bà,雨,霸占
占,zhàn,卜,霸占、占据
昧,mèi,日,半明半昧
坠,zhuì,土,摇摇欲坠
怀,huái,忄,怀抱